theweststreethotel.com-0115-2017Redesign;en-US;www.acadiamagic.com;36683;1;0
Thesagamore.com-0112-2017Redesign;en-US;www.bing.com;32339;1;0
Cocokeyorlando.com-0059-2015Redesign;en-US;search.yahoo.com;12394;1;0
Casaybelresort.com-0002-2014Redesign;en-US;t.co;1533;1;0
Cphollywoodbeach.com-0032-2015Redesign;en-US;www.sunny.org;7831;1;0
Broadmoor.com-0073-2016Redesign;en-US;login.nomadix.com:1111;16724;1;0
Jupiterbeachresort.com-0103-2017Redesign;en-US;www.bing.com;28167;1;0
Broadmoor.com-0073-2016Redesign;en-US;login.nomadix.com:1111;16724;1;0
Lidobeachresort.com-0106-2017Redesign;en-US;www.bing.com;28666;1;0
Jupiterbeachresort.com-0103-2017Redesign;en-US;www.bing.com;28167;1;0
Luxehotels.com-0078-2016Redesign;en-US;www.google.com;18805;1;0
Cphollywoodbeach.com-0032-2015Redesign;en-US;www.sunny.org;7831;1;0
Broadmoor.com-0073-2016Redesign;en-US;login.nomadix.com:1111;16724;1;0
Broadmoor.com-0073-2016Redesign;en-US;login.nomadix.com:1111;16724;1;0
Glencovemansion.com-0058-2015Redesign;en-US;www.google.com;13328;1;0
Washingtoncourthotel.com-0076-2016Redesign;en-US;www.google.com;17858;1;0
Broadmoor.com-0073-2016Redesign;en-US;www.google.com;18010;1;0
Theoxfordhotel.com-0062-2015Redesign;en-US;www.google.com;14325;1;0
Broadmoor.com-0073-2016Redesign;en-US;www.google.com;16772;1;0
Luxehotels.com-0078-2016Redesign;en-US;www.google.co.uk;18805;1;0
Broadmoor.com-0073-2016Redesign;en-US;tpc.googlesyndication.com;16728;1;0
Broadmoor.com-0073-2016Redesign;en-US;www.google.com;16770;1;0
Thelodgeatwoodloch.com-0033-2015Redesign;en-US;www.google.com;7764;1;0
Broadmoor.com-0073-2016Redesign;en-US;www.pikespeakcup.com;16731;1;0
Broadmoor.com-0073-2016Redesign;en-US;www.google.com;16742;1;0
Thelodgeatwoodloch.com-0033-2015Redesign;en-US;www.google.com;9801;1;0
Unionstationhotelnashville.com-0047-2015Redesign;en-US;android-app:;32226;1;0
Broadmoor.com-0073-2016Redesign;en-US;login.nomadix.com:1111;16724;1;0
Broadmoor.com-0073-2016Redesign;en-US;login.nomadix.com:1111;16724;1;0
Thelodgeatwoodloch.com-0033-2015Redesign;en-US;www.google.com;7764;1;0
Hospitalityupgrade.com-0093-2016Redesign;en-US;www.google.com;37631;1;0
Broadmoor.com-0073-2016Redesign;en-US;www.google.com;16761;1;0
Sandpearl.com-0091-2016Redesign;en-US;www.google.com;22481;1;0
Sandpearl.com-0091-2016Redesign;en-US;www.google.com;22481;1;0
Napavalleymarriott.com-0071-2016Redesign;en-US;www.google.com;16432;1;0
Luxehotels.com-0078-2016Redesign;en-US;www.google.com;18833;1;0
Broadmoor.com-0073-2016Redesign;en-US;www.bing.com;22720;1;0
Broadmoor.com-0073-2016Redesign;en-US;login.nomadix.com:1111;16724;1;0
Broadmoor.com-0073-2016Redesign;en-US;login.nomadix.com:1111;16724;1;0
Hospitalityupgrade.com-0093-2016Redesign;en-US;www.google.com;37631;1;0
Thecurtis.com-0079-2016Redesign;en-US;www.elementkcreative.com;17981;1;0
Broadmoor.com-0073-2016Redesign;en-US;www.bing.com;16721;1;0
Cphollywoodbeach.com-0032-2015Redesign;en-US;www.sunny.org;7831;1;0
Broadmoor.com-0073-2016Redesign;en-US;login.nomadix.com:1111;16724;1;0
Broadmoor.com-0073-2016Redesign;en-US;login.nomadix.com:1111;16724;1;0
Chrco.com-0107-2017Redesign;en-US;www.google.com;29280;1;0
Galthouse.com-0042-2015Redesign;en-US;android-app:;13200;1;0
Theoxfordhotel.com-0062-2015Redesign;en-US;www.google.com;14325;1;0
Cphollywoodbeach.com-0032-2015Redesign;en-US;www.sunny.org;7831;1;0
