Longboatkeyclub.com-0104-2017Redesign;en-US;www.inboundlinks.win;28316;1;0
Thelodgeatwoodloch.com-0033-2015Redesign;en-US;www.google.com;7764;1;0
Lehotels.com-0049-2015Transfer;en-US;www.google.fr;13650;1;0
Thecurtis.com-0079-2016Redesign;en-US;www.google.ca;17981;1;0
Zotabeachresort.com-0090-2016Redesign;en-US;www.google.com;22357;1;0
Zotabeachresort.com-0090-2016Redesign;en-US;www.google.com;22357;1;0
Thesagamore.com-0112-2017Redesign;en-US;www.bing.com;32339;1;0
Broadmoor.com-0073-2016Redesign;en-US;login.nomadix.com:1111;16724;1;0
Broadmoor.com-0073-2016Redesign;en-US;login.nomadix.com:1111;16724;1;0
Lakeplacidlodge.com-0105-2017Redesign;en-US;www.google.com;28545;1;0
Jupiterbeachresort.com-0103-2017Redesign;en-US;www.google.com;28213;1;0
Thelodgeatwoodloch.com-0033-2015Redesign;en-US;www.google.com;7764;1;0
Broadmoor.com-0073-2016Redesign;en-US;login.nomadix.com:1111;16724;1;0
Broadmoor.com-0073-2016Redesign;en-US;login.nomadix.com:1111;16724;1;0
Hi-nyc.com-0108-2017Redesogm;en-US;www.google.com;30080;1;0
Theoxfordhotel.com-0062-2015Redesign;en-US;www.google.com;14331;1;0
Cphollywoodbeach.com-0032-2015Redesign;en-US;www.sunny.org;7831;1;0
Broadmoor.com-0073-2016Redesign;en-US;login.nomadix.com:1111;16724;1;0
Lidobeachresort.com-0106-2017Redesign;en-US;www.google.com;28666;1;0
Broadmoor.com-0073-2016Redesign;en-US;login.nomadix.com:1111;16724;1;0
Broadmoor.com-0073-2016Redesign;en-US;www.linkedin.com;35882;1;0
Broadmoor.com-0073-2016Redesign;en-US;www.google.com;16721;1;0
Edgewaternaples.com-0094-2016Redesign;en-US;www.google.com;25239;1;0
Edgewaternaples.com-0094-2016Redesign;en-US;www.google.com;25239;1;0
saddlebrook.com-0011-2014Redesign;en-US;www.google.com;4538;1;0
Jupiterbeachresort.com-0103-2017Redesign;en-US;captive.apple.com;28158;1;0
Jupiterbeachresort.com-0103-2017Redesign;en-US;captive.apple.com;28158;1;0
theweststreethotel.com-0115-2017Redesign;en-US;www.visitnewengland.com;36683;1;0
Sandpearl.com-0091-2016Redesign;en-US;www.bing.com;22481;1;0
Casaybelresort.com-0002-2014Redesign;en-US;search.yahoo.com;1613;1;0
Samosetresort.com-0113-2017Redesign;en-US;www.google.com;32541;1;0
Thesagamore.com-0112-2017Redesign;en-US;www.lakegeorge.com;32339;1;0
Thesagamore.com-0112-2017Redesign;en-US;www.lakegeorge.com;32339;1;0
Samosetresort.com-0113-2017Redesign;en-US;www.google.com;32541;1;0
Edgewaternaples.com-0094-2016Redesign;en-US;www.google.com;25239;1;0
Cphollywoodbeach.com-0032-2015Redesign;en-US;www.sunny.org;7831;1;0
Edgewaternaples.com-0094-2016Redesign;en-US;www.google.com;25239;1;0
Theharborsidehotel.com-0114-2017Redesign;en-US;www.google.com;37571;1;0
Residenceinnnyc.com-0034-2015Redesign;en-US;www.google.com;7926;1;0
Cphollywoodbeach.com-0032-2015Redesign;en-US;www.sunny.org;7831;1;0
Treasureislandbeachresort.com-0089-2016Redesign;en-US;s0.2mdn.net;22169;1;0
Opalsands.com-0084-2016Redesign;en-US;www.google.com;20171;1;0
Thecrawfordhotel.com-0074-2016Redesign;en-US;search.yahoo.com;17145;1;0
Casaybelresort.com-0002-2014Redesign;en-US;www.google.com;1533;1;0
Broadmoor.com-0073-2016Redesign;en-US;www.google.com;18259;1;0
Thelodgeatwoodloch.com-0033-2015Redesign;en-US;www.bing.com;7764;1;0
Broadmoor.com-0073-2016Redesign;en-US;login.nomadix.com:1111;16724;1;0
Broadmoor.com-0073-2016Redesign;en-US;login.nomadix.com:1111;16724;1;0
Broadmoor.com-0073-2016Redesign;en-US;login.nomadix.com:1111;16724;1;0
Broadmoor.com-0073-2016Redesign;en-US;login.nomadix.com:1111;16724;1;0
Treasureislandbeachresort.com-0089-2016Redesign;en-US;www.bing.com;22169;1;0
Thecurtis.com-0079-2016Redesign;en-US;www.google.com;17981;1;0
Treasureislandbeachresort.com-0089-2016Redesign;en-US;www.bing.com;22169;1;0
