Residenceinnnyc.com-0034-2015Redesign;en-US;www.google.de;7926;1;0
Newyorkpalacemeetings.com-0045-2015Redesign;en-US;www.bing.com;9207;1;0
Thelodgeatwoodloch.com-0033-2015Redesign;en-US;www.google.com;7764;1;0
wentworthcom00212014redesign;en-US;r.search.yahoo.com;26679;1;0
wentworthcom00212014redesign;en-US;r.search.yahoo.com;4259;1;0
Galthouse.com-0042-2015Redesign;en-US;www.google.com;31905;1;0
Broadmoor.com-0073-2016Redesign;en-US;www.bing.com;18013;1;0
Broadmoor.com-0073-2016Redesign;en-US;www.bing.com;16721;1;0
Broadmoor.com-0073-2016Redesign;en-US;www.bing.com;16721;1;0
Cphollywoodbeach.com-0032-2015Redesign;en-US;www.sunny.org;7831;1;0
Broadmoor.com-0073-2016Redesign;en-US;login.nomadix.com:1111;16724;1;0
Broadmoor.com-0073-2016Redesign;en-US;login.nomadix.com:1111;16724;1;0
Cphollywoodbeach.com-0032-2015Redesign;en-US;www.google.com;7840;1;0
Renaissancepittsburghpa.com-0044-2015Redesign;en-US;www.google.com;9637;1;0
Glencovemansion.com-0058-2015Redesign;en-US;www.google.com;13328;1;0
Cphollywoodbeach.com-0032-2015Redesign;en-US;www.sunny.org;7831;1;0
Cocokeyorlando.com-0059-2015Redesign;en-US;www.google.com;12394;1;0
Cocokeyorlando.com-0059-2015Redesign;en-US;www.google.com;12394;1;0
Monarchbeachresort.com-0092-2016Redesign;en-US;www.google.com;22847;1;0
Galthouse.com-0042-2015Redesign;en-US;www.google.com;31905;1;0
Cocokeyorlando.com-0059-2015Redesign;en-US;www.google.com;12394;1;0
Edgewaternaples.com-0094-2016Redesign;en-US;www.google.com;25239;1;0
Edgewaternaples.com-0094-2016Redesign;en-US;www.google.com;25239;1;0
Montaukyachtclub.com-0010-2014Redesign;en-US;m.facebook.com;2240;1;0
Casaybelresort.com-0002-2014Redesign;en-US;r.search.yahoo.com;1533;1;0
Thesagamore.com-0112-2017Redesign;en-US;www.google.com;32339;1;0
Laxembassy.com-0008-2014Redesign;en-US;www.google.com;2037;1;0
Theoxfordhotel.com-0062-2015Redesign;en-US;www.google.com;14325;1;0
wentworthcom00212014redesign;en-US;www.google.com;4306;1;0
Glencovemansion.com-0058-2015Redesign;en-US;www.google.com;13328;1;0
Thesagamore.com-0112-2017Redesign;en-US;www.google.com;33444;1;0
Broadmoor.com-0073-2016Redesign;en-US;img.washingtonpost.com;16721;1;0
Galthouse.com-0042-2015Redesign;en-US;www.google.com;31905;1;0
Galthouse.com-0042-2015Redesign;en-US;www.google.com;31905;1;0
Opalsands.com-0084-2016Redesign;en-US;www.google.com;20754;1;0
Residenceinnlax.com-0026-2014Redesign;en-US;whois.domaintools.com;5271;1;0
Cocokeyorlando.com-0059-2015Redesign;en-US;www.google.com;12410;1;0
