Sandpearl.com-0091-2016Redesign;en-US;tpc.googlesyndication.com;22481;1;0
Jupiterbeachresort.com-0103-2017Redesign;en-US;www.google.com;28209;1;0
Broadmoor.com-0073-2016Redesign;en-US;s0.2mdn.net;18014;1;0
Lakeplacidlodge.com-0105-2017Redesign;en-US;www.cnn.com;28545;1;0
Jbdukehotel.com-0086-2016Redesign;en-US;www.google.com;21918;1;0
Lakeplacidlodge.com-0105-2017Redesign;en-US;www.cnn.com;28545;1;0
Broadmoor.com-0073-2016Redesign;en-US;www.google.com;16764;1;0
saddlebrook.com-0011-2014Redesign;en-US;www.google.com;3385;1;0
Glencovemansion.com-0058-2015Redesign;en-US;www.google.com;13328;1;0
Broadmoor.com-0073-2016Redesign;en-US;login.nomadix.com:1111;16724;1;0
Broadmoor.com-0073-2016Redesign;en-US;login.nomadix.com:1111;16724;1;0
saddlebrook.com-0011-2014Redesign;en-US;www.google.com;3628;1;0
Broadmoor.com-0073-2016Redesign;en-US;login.nomadix.com:1111;16724;1;0
Thelodgeatwoodloch.com-0033-2015Redesign;en-US;www.google.com;7764;1;0
Washingtondukeinn.com-0024-2014Redesign;en-US;www.google.com;4524;1;0
Washingtondukeinn.com-0024-2014Redesign;en-US;www.google.com;4740;1;0
Montaukyachtclub.com-0010-2014Redesign;en-US;www.google.com;3554;1;0
Unionstationhotelnashville.com-0047-2015Redesign;en-US;www.google.com;32226;1;0
Hospitalityupgrade.com-0093-2016Redesign;en-US;www.citethisforme.com;25405;1;0
Broadmoor.com-0073-2016Redesign;en-US;s0.2mdn.net;18010;1;0
Luxehotels.com-0078-2016Redesign;en-US;www.google.com;18831;1;0
Cocokeyorlando.com-0059-2015Redesign;en-US;www.google.com;12394;1;0
Broadmoor.com-0073-2016Redesign;en-US;www.google.com;16763;1;0
Cocokeyorlando.com-0059-2015Redesign;en-US;www.google.com;12394;1;0
Monarchbeachresort.com-0092-2016Redesign;en-US;www.google.co.in;22725;1;0
Jbdukehotel.com-0086-2016Redesign;en-US;search.yahoo.com;21918;1;0
Broadmoor.com-0073-2016Redesign;en-US;www.google.com;16793;1;0
Washingtoncourthotel.com-0076-2016Redesign;en-US;www.nacep.org;17858;1;0
Hospitalityupgrade.com-0093-2016Redesign;en-US;www.citethisforme.com;25405;1;0
Lidobeachresort.com-0106-2017Redesign;en-US;www.google.com.ar;28666;1;0
Thesagamore.com-0112-2017Redesign;en-US;www.google.com;32339;1;0
Thesagamore.com-0112-2017Redesign;en-US;www.google.com;32347;1;0
Thesagamore.com-0112-2017Redesign;en-US;www.cnn.com;32339;1;0
Thesagamore.com-0112-2017Redesign;en-US;www.cnn.com;32339;1;0
Thecrawfordhotel.com-0074-2016Redesign;en-US;www.google.com;17667;1;0
Thesagamore.com-0112-2017Redesign;en-US;www.bing.com;32339;1;0
Monarchbeachresort.com-0092-2016Redesign;en-US;www.rngcoalition.com;22877;1;0
Glencovemansion.com-0058-2015Redesign;en-US;www.google.com;13328;1;0
Thesagamore.com-0112-2017Redesign;en-US;www.google.ca;32339;1;0
Lidobeachresort.com-0106-2017Redesign;en-US;www.google.com.ar;28666;1;0
Broadmoor.com-0073-2016Redesign;en-US;www.colorado.com;18259;1;0
Thesagamore.com-0112-2017Redesign;en-US;search.yahoo.com;32339;1;0
Broadmoor.com-0073-2016Redesign;en-US;www.google.com;16721;1;0
Thesagamore.com-0112-2017Redesign;en-US;www.cnn.com;32339;1;0
Opalsands.com-0084-2016Redesign;en-US;www.google.com;20171;1;0
Thesagamore.com-0112-2017Redesign;en-US;www.cnn.com;32339;1;0
Opalsands.com-0084-2016Redesign;en-US;www.google.com;20171;1;0
Renaissancepittsburghpa.com-0044-2015Redesign;en-US;www.bing.com;10040;1;0
Cphollywoodbeach.com-0032-2015Redesign;en-US;www.google.com;7831;1;0
Luxehotels.com-0078-2016Redesign;en-US;www.google.com;18831;1;0
Thesagamore.com-0112-2017Redesign;en-US;www.cnn.com;32339;1;0
Thesagamore.com-0112-2017Redesign;en-US;www.cnn.com;32339;1;0
Napavalleymarriott.com-0071-2016Redesign;en-US;www.bing.com;18369;1;0
Broadmoor.com-0073-2016Redesign;en-US;www.google.com;16721;1;0
Theoxfordhotel.com-0062-2015Redesign;en-US;www.google.com;14346;1;0
Broadmoor.com-0073-2016Redesign;en-US;www.google.com;16721;1;0
Cphollywoodbeach.com-0032-2015Redesign;en-US;www.sunny.org;7831;1;0
Thecurtis.com-0079-2016Redesign;en-US;www.google.com;17981;1;0
Thecrawfordhotel.com-0074-2016Redesign;en-US;www.bing.com;17667;1;0
Broadmoor.com-0073-2016Redesign;en-US;login.nomadix.com:1111;16724;1;0
Lakeplacidlodge.com-0105-2017Redesign;en-US;www.google.com;28545;1;0
Broadmoor.com-0073-2016Redesign;en-US;login.nomadix.com:1111;16724;1;0
Lakeplacidlodge.com-0105-2017Redesign;en-US;www.google.com;28545;1;0
Thesagamore.com-0112-2017Redesign;en-US;www.google.com;32347;1;0
Sandylane.com-0075-2016Redesign;en-US;tpc.googlesyndication.com;17611;1;0
Edgewaternaples.com-0094-2016Redesign;en-US;l.facebook.com;25239;1;0
Thelodgeatwoodloch.com-0033-2015Redesign;en-US;www.poconomountains.com;7764;1;0
wentworthcom00212014redesign;en-US;www.google.com;5063;1;0
Thesagamore.com-0112-2017Redesign;en-US;www.cnn.com;32339;1;0
Thesagamore.com-0112-2017Redesign;en-US;www.cnn.com;32339;1;0
Jbdukehotel.com-0086-2016Redesign;en-US;www.google.com;21918;1;0
