Sandylane.com-0075-2016Redesign;en-US;search.yahoo.com;17717;1;0
Jupiterbeachresort.com-0103-2017Redesign;en-US;www.ophotels.com;28158;1;0
Cocokeyorlando.com-0059-2015Redesign;en-US;www.google.co.uk;12394;1;0
Lakeplacidlodge.com-0105-2017Redesign;en-US;www.ophotels.com;28545;1;0
Lidobeachresort.com-0106-2017Redesign;en-US;www.ophotels.com;28666;1;0
Marriottdelraybeach.com-0009-2014Redesign;en-US;www.ophotels.com;2829;1;0
Marriottkeylargo.com-0015-2014Redesign;en-US;www.ophotels.com;3948;1;0
Casaybelresort.com-0002-2014Redesign;en-US;www.google.com;1533;1;0
Courtyardportlandcitycenter.com-0063-2015Redesign;en-US;www.google.com;14545;1;0
Samosetresort.com-0113-2017Redesign;en-US;www.ophotels.com;32541;1;0
Samosetresort.com-0113-2017Redesign;en-US;www.ophotels.com;32541;1;0
Longboatkeyclub.com-0104-2017Redesign;en-US;www.ophotels.com;35641;1;0
Thesagamore.com-0112-2017Redesign;en-US;www.ophotels.com;32339;1;0
Broadmoor.com-0073-2016Redesign;en-US;www.google.com;18259;1;0
Casaybelresort.com-0002-2014Redesign;en-US;www.google.com;1533;1;0
wentworthcom00212014redesign;en-US;www.ophotels.com;26679;1;0
Casaybelresort.com-0002-2014Redesign;en-US;www.google.com;1613;1;0
theweststreethotel.com-0115-2017Redesign;en-US;www.ophotels.com;36683;1;0
Broadmoor.com-0073-2016Redesign;en-US;www.google.com;18259;1;0
Monarchbeachresort.com-0092-2016Redesign;en-US;www.google.com;22725;1;0
Cphollywoodbeach.com-0032-2015Redesign;en-US;www.sunny.org;7831;1;0
Broadmoor.com-0073-2016Redesign;en-US;login.nomadix.com:1111;16724;1;0
Broadmoor.com-0073-2016Redesign;en-US;login.nomadix.com:1111;16724;1;0
Broadmoor.com-0073-2016Redesign;en-US;www.google.com;18259;1;0
Halcyonhotelcherrycreek.com-0061-2015Redesign;en-US;www.google.com;23287;1;0
Laxembassy.com-0008-2014Redesign;en-US;www.google.com;2037;1;0
Thesagamore.com-0112-2017Redesign;en-US;www.google.com;32339;1;0
Chrco.com-0107-2017Redesign;en-US;www.bing.com;29280;1;0
Amzak.com-0023-2014Redesign;en-US;www.google.com;3739;1;0
Sandpearl.com-0091-2016Redesign;en-US;landmania.ru;23082;1;0
Washingtondukeinn.com-0024-2014Redesign;en-US;www.google.com;7844;1;0
Sandpearl.com-0091-2016Redesign;en-US;landmania.ru;23082;1;0
Sandpearl.com-0091-2016Redesign;en-US;landmania.ru;23082;1;0
Montaukyachtclub.com-0010-2014Redesign;en-US;www.google.com;3554;1;0
Broadmoor.com-0073-2016Redesign;en-US;www.google.com;16721;1;0
Opalsands.com-0084-2016Redesign;en-US;www.google.com;20171;1;0
Opalsands.com-0084-2016Redesign;en-US;www.google.com;20171;1;0
Edgewaternaples.com-0094-2016Redesign;en-US;reservations.edgewaternaples.com;25287;1;0
Edgewaternaples.com-0094-2016Redesign;en-US;reservations.edgewaternaples.com;25287;1;0
Glencovemansion.com-0058-2015Redesign;en-US;www.google.com;13371;1;0
Theharborsidehotel.com-0114-2017Redesign;en-US;www.barharborinfo.com;37571;1;0
Monarchbeachresort.com-0092-2016Redesign;en-US;www.google.ca;22725;1;0
Cphollywoodbeach.com-0032-2015Redesign;en-US;www.sunny.org;7831;1;0
theweststreethotel.com-0115-2017Redesign;en-US;www.google.com;36683;1;0
Marriottkeylargo.com-0015-2014Redesign;en-US;www.ophotels.com;3948;1;0
Marriottdelraybeach.com-0009-2014Redesign;en-US;www.ophotels.com;2829;1;0
wentworthcom00212014redesign;en-US;www.ophotels.com;26679;1;0
Marriottkeylargo.com-0015-2014Redesign;en-US;www.ophotels.com;3964;1;0
Marriottdelraybeach.com-0009-2014Redesign;en-US;www.ophotels.com;2845;1;0
Broadmoor.com-0073-2016Redesign;en-US;www.google.com;16793;1;0
wentworthcom00212014redesign;en-US;www.ophotels.com;4259;1;0
Samosetresort.com-0113-2017Redesign;en-US;www.ophotels.com;32541;1;0
Delraysandsresort.com-0097-2016Redesign;en-US;www.ophotels.com;27232;1;0
Lidobeachresort.com-0106-2017Redesign;en-US;www.ophotels.com;28666;1;0
Thesagamore.com-0112-2017Redesign;en-US;www.ophotels.com;32339;1;0
Thesagamore.com-0112-2017Redesign;en-US;na28.salesforce.com;32339;1;0
Lakeplacidlodge.com-0105-2017Redesign;en-US;www.ophotels.com;28545;1;0
Cphollywoodbeach.com-0032-2015Redesign;en-US;www.sunny.org;7831;1;0
Longboatkeyclub.com-0104-2017Redesign;en-US;www.ophotels.com;35641;1;0
Thesagamore.com-0112-2017Redesign;en-US;na28.salesforce.com;32339;1;0
Jupiterbeachresort.com-0103-2017Redesign;en-US;www.ophotels.com;28158;1;0
Samosetresort.com-0113-2017Redesign;en-US;www.ophotels.com;32541;1;0
Theharborsidehotel.com-0114-2017Redesign;en-US;www.ophotels.com;37571;1;0
theweststreethotel.com-0115-2017Redesign;en-US;www.ophotels.com;36683;1;0
Broadmoor.com-0073-2016Redesign;en-US;login.nomadix.com:1111;16724;1;0
theweststreethotel.com-0115-2017Redesign;en-US;www.lapresse.ca;36683;1;0
Broadmoor.com-0073-2016Redesign;en-US;login.nomadix.com:1111;16724;1;0
Thesagamore.com-0112-2017Redesign;en-US;www.cnn.com;32339;1;0
Thesagamore.com-0112-2017Redesign;en-US;www.cnn.com;32339;1;0
