Delraysandsresort.com-0097-2016Redesign;en-US;search.aol.com;27232;1;0
Lakeplacidlodge.com-0105-2017Redesign;en-US;www.google.com;32795;1;0
Lakeplacidlodge.com-0105-2017Redesign;en-US;www.google.com;28545;1;0
Lakeplacidlodge.com-0105-2017Redesign;en-US;www.google.com;28545;1;0
Thecrawfordhotel.com-0074-2016Redesign;en-US;unionstationindenver.com;17190;1;0
Lakeplacidlodge.com-0105-2017Redesign;en-US;www.google.com;28545;1;0
Galthouse.com-0042-2015Redesign;en-US;www.google.com;31905;1;0
Theharborsidehotel.com-0114-2017Redesign;en-US;www.google.com;37571;1;0
Thelodgeatwoodloch.com-0033-2015Redesign;en-US;www.google.com;8390;1;0
Thesagamore.com-0112-2017Redesign;en-US;www.cnn.com;32339;1;0
Thesagamore.com-0112-2017Redesign;en-US;www.cnn.com;32339;1;0
Washingtoncourthotel.com-0076-2016Redesign;en-US;www.google.com;17858;1;0
Broadmoor.com-0073-2016Redesign;en-US;www.google.com;16721;1;0
Thelodgeatwoodloch.com-0033-2015Redesign;en-US;www.google.com;7764;1;0
Unionstationhotelnashville.com-0047-2015Redesign;en-US;www.google.com;32226;1;0
Broadmoor.com-0073-2016Redesign;en-US;www.google.com;18208;1;0
Jupiterbeachresort.com-0103-2017Redesign;en-US;lm.facebook.com;28158;1;0
Jupiterbeachresort.com-0103-2017Redesign;en-US;lm.facebook.com;28158;1;0
Washingtondukeinn.com-0024-2014Redesign;en-US;www.google.com;4579;1;0
Lakeplacidlodge.com-0105-2017Redesign;en-US;www.google.com;28545;1;0
Broadmoor.com-0073-2016Redesign;en-US;www.google.com;18259;1;0
Secretharbourvi.com-0040-2015Redesign;en-US;yandex.ru;9231;1;0
Thesagamore.com-0112-2017Redesign;en-US;www.cnn.com;32339;1;0
Thesagamore.com-0112-2017Redesign;en-US;www.cnn.com;32339;1;0
Renaissancepittsburghpa.com-0044-2015Redesign;en-US;www.google.com;9655;1;0
Opalsands.com-0084-2016Redesign;en-US;www.beachtourism.com;20171;1;0
Broadmoor.com-0073-2016Redesign;en-US;www.google.com;16772;1;0
Opalsands.com-0084-2016Redesign;en-US;www.beachtourism.com;20171;1;0
Opalsands.com-0084-2016Redesign;en-US;www.google.co.uk;40846;1;0
Broadmoor.com-0073-2016Redesign;en-US;www.google.com;16721;1;0
Opalsands.com-0084-2016Redesign;en-US;www.google.com;20171;1;0
Broadmoor.com-0073-2016Redesign;en-US;login.nomadix.com:1111;16724;1;0
Broadmoor.com-0073-2016Redesign;en-US;login.nomadix.com:1111;16724;1;0
Monarchbeachresort.com-0092-2016Redesign;en-US;www.google.ca;22725;1;0
Theloganhotel.com-0043-2015Redesign;en-US;www.google.com;20218;1;0
Samosetresort.com-0113-2017Redesign;en-US;www.google.com;32541;1;0
Cocokeyorlando.com-0059-2015Redesign;en-US;www.google.com;12394;1;0
Samosetresort.com-0113-2017Redesign;en-US;www.google.com;32541;1;0
Jbdukehotel.com-0086-2016Redesign;en-US;www.google.com;21926;1;0
Broadmoor.com-0073-2016Redesign;en-US;www.bing.com;16721;1;0
Casaybelresort.com-0002-2014Redesign;en-US;www.google.com;1533;1;0
Degreerestaurant.com-0056-2015Redesign;en-US;www.springhillsuitesdenver.com;11598;1;0
Napavalleymarriott.com-0071-2016Redesign;en-US;www.google.com;16432;1;0
Broadmoor.com-0073-2016Redesign;en-US;search.yahoo.com;16799;1;0
Thesagamore.com-0112-2017Redesign;en-US;www.urbanbaby.com;32339;1;0
Homewoodsuiteslax.com-0110-2017Redesign;en-US;www.google.com;30772;1;0
Broadmoor.com-0073-2016Redesign;en-US;www.google.com;18782;1;0
Thesagamore.com-0112-2017Redesign;en-US;www.google.com;32339;1;0
Thecrawfordhotel.com-0074-2016Redesign;en-US;unionstationindenver.com;17190;1;0
