Montaukyachtclub.com-0010-2014Redesign;en-US;www.google.com.ua;2240;1;0
Thelodgeatwoodloch.com-0033-2015Redesign;en-US;www.google.com;8305;1;0
Samosetresort.com-0113-2017Redesign;en-US;www.ophotels.com;32541;1;0
Samosetresort.com-0113-2017Redesign;en-US;www.google.com;35278;1;0
saddlebrook.com-0011-2014Redesign;en-US;www.google.com;3469;1;0
Zotabeachresort.com-0090-2016Redesign;en-US;www.google.co.uk;22357;1;0
Cphollywoodbeach.com-0032-2015Redesign;en-US;www.sunny.org;7831;1;0
Cphollywoodbeach.com-0032-2015Redesign;en-US;www.sunny.org;7831;1;0
Casaybelresort.com-0002-2014Redesign;en-US;www.google.com;1533;1;0
Newyorkpalacemeetings.com-0045-2015Redesign;en-US;www.google.com;9207;1;0
Broadmoor.com-0073-2016Redesign;en-US;login.nomadix.com:1111;16724;1;0
Broadmoor.com-0073-2016Redesign;en-US;www.google.com;16728;1;0
Broadmoor.com-0073-2016Redesign;en-US;login.nomadix.com:1111;16724;1;0
Broadmoor.com-0073-2016Redesign;en-US;login.nomadix.com:1111;16724;1;0
Thelodgeatwoodloch.com-0033-2015Redesign;en-US;www.google.com;8254;1;0
Broadmoor.com-0073-2016Redesign;en-US;www.google.com;16721;1;0
Monarchbeachresort.com-0092-2016Redesign;en-US;www.google.be;22996;1;0
Broadmoor.com-0073-2016Redesign;en-US;login.nomadix.com:1111;16724;1;0
Thelodgeatwoodloch.com-0033-2015Redesign;en-US;www.poconomountains.com;7764;1;0
Washingtondukeinn.com-0024-2014Redesign;en-US;www.bing.com;4524;1;0
Thesagamore.com-0112-2017Redesign;en-US;www.google.com;32340;1;0
Broadmoor.com-0073-2016Redesign;en-US;www.google.com;16721;1;0
Unionstationhotelnashville.com-0047-2015Redesign;en-US;www.google.com;32226;1;0
Lakeplacidlodge.com-0105-2017Redesign;en-US;www.google.com;28545;1;0
Lakeplacidlodge.com-0105-2017Redesign;en-US;www.cnn.com;28545;1;0
Lakeplacidlodge.com-0105-2017Redesign;en-US;www.cnn.com;28545;1;0
Napavalleymarriott.com-0071-2016Redesign;en-US;www.google.com;16432;1;0
Longboatkeyclub.com-0104-2017Redesign;en-US;www.google.com;28354;1;0
Monarchbeachresort.com-0092-2016Redesign;en-US;www.google.com;22992;1;0
Broadmoor.com-0073-2016Redesign;en-US;login.nomadix.com:1111;16724;1;0
Broadmoor.com-0073-2016Redesign;en-US;login.nomadix.com:1111;16724;1;0
Casaybelresort.com-0002-2014Redesign;en-US;www.google.com;1533;1;0
Broadmoor.com-0073-2016Redesign;en-US;login.nomadix.com:1111;16724;1;0
Broadmoor.com-0073-2016Redesign;en-US;login.nomadix.com:1111;16724;1;0
Bellemontfarm.com-0007-2013Redesign;en-US;www.google.com;12011;1;0
Broadmoor.com-0073-2016Redesign;en-US;www.google.com;18259;1;0
wentworthcom00212014redesign;en-US;www.bing.com;26679;1;0
Galthouse.com-0042-2015Redesign;en-US;m.facebook.com;31905;1;0
Courtyardportlandcitycenter.com-0063-2015Redesign;en-US;www.google.com;14545;1;0
Edgewaternaples.com-0094-2016Redesign;en-US;www.google.com;25239;1;0
Edgewaternaples.com-0094-2016Redesign;en-US;www.google.com;25239;1;0
Miravalspamonarchbeach.com-0109-2017Redesign;en-US;www.google.com;32984;1;0
Washingtondukeinn.com-0024-2014Redesign;en-US;android-app:;4524;1;0
Galthouse.com-0042-2015Redesign;en-US;m.facebook.com;31905;1;0
shop.broadmoor.com-0096-2016ShoppingCart;en-US;www.broadmoor.com;26973;1;0
Broadmoor.com-0073-2016Redesign;en-US;login.nomadix.com:1111;16724;1;0
Thelodgeatwoodloch.com-0033-2015Redesign;en-US;www.google.com;7764;1;0
Broadmoor.com-0073-2016Redesign;en-US;login.nomadix.com:1111;16724;1;0
Lidobeachresort.com-0106-2017Redesign;en-US;www.google.com;28666;1;0
Thesagamore.com-0112-2017Redesign;en-US;www.google.com;32339;1;0
Thesagamore.com-0112-2017Redesign;en-US;www.google.com;32339;1;0
Lidobeachresort.com-0106-2017Redesign;en-US;www.google.com;29823;1;0
Broadmoor.com-0073-2016Redesign;en-US;s0.2mdn.net;18010;1;0
Thesagamore.com-0112-2017Redesign;en-US;www.google.com;33457;1;0
Washingtondukeinn.com-0024-2014Redesign;en-US;www.google.com;4524;1;0
Broadmoor.com-0073-2016Redesign;en-US;www.google.com;16728;1;0
Broadmoor.com-0073-2016Redesign;en-US;login.nomadix.com:1111;16724;1;0
Monarchbeachresort.com-0092-2016Redesign;en-US;www.google.be;22996;1;0
Broadmoor.com-0073-2016Redesign;en-US;login.nomadix.com:1111;16724;1;0
Broadmoor.com-0073-2016Redesign;en-US;www.google.com;18259;1;0
