Edgewaternaples.com-0094-2016Redesign;en-US;android-app://com.google.android.googlequicksearchbox/;25239;1;0
Broadmoor.com-0073-2016Redesign;en-US;https://www.google.com/;16766;1;0
Monarchbeachresort.com-0092-2016Redesign;en-US;https://www.google.com/;22725;1;0
Sandpearl.com-0091-2016Redesign;en-US;http://m.facebook.com/;22481;1;0
Broadmoor.com-0073-2016Redesign;en-US;http://login.nomadix.com:1111/web/portal.html;16724;1;0
Monarchbeachresort.com-0092-2016Redesign;en-US;https://www.google.com/;22995;1;0
Longboatkeyclub.com-0104-2017Redesign;en-US;https://www.google.com/;28316;1;0
Hospitalityupgrade.com-0093-2016Redesign;en-US;https://www.google.com/;22790;1;0
Broadmoor.com-0073-2016Redesign;en-US;http://login.nomadix.com:1111/web/portal.html;16724;1;0
Longboatkeyclub.com-0104-2017Redesign;en-US;https://www.google.com/;28316;1;0
Sandpearl.com-0091-2016Redesign;en-US;http://m.facebook.com/;22481;1;0
Miravalspamonarchbeach.com-0109-2017Redesign;en-US;http://www.monarchbeachresort.com/western-states-petroleum-association-conference/;31733;1;0
Casaybelresort.com-0002-2014Redesign;en-US;https://www.google.com/;1533;1;0
Thelodgeatwoodloch.com-0033-2015Redesign;en-US;https://www.google.com/;8254;1;0
Monarchbeachresort.com-0092-2016Redesign;en-US;http://www.cwcriskconference.org/;22725;1;0
Zotabeachresort.com-0090-2016Redesign;en-US;https://www.google.com/;23062;1;0
Hospitalityupgrade.com-0093-2016Redesign;en-US;https://search.yahoo.com/;37631;1;0
Lidobeachresort.com-0106-2017Redesign;en-US;http://m.facebook.com/;28714;1;0
Opalsands.com-0084-2016Redesign;en-US;http://m.facebook.com/;28082;1;0
Broadmoor.com-0073-2016Redesign;en-US;http://login.nomadix.com:1111/web/portal.html;16724;1;0
Napavalleymarriott.com-0071-2016Redesign;en-US;https://www.google.com/;16432;1;0
Broadmoor.com-0073-2016Redesign;en-US;http://login.nomadix.com:1111/web/portal.html;16724;1;0
Broadmoor.com-0073-2016Redesign;en-US;http://login.nomadix.com:1111/web/portal.html;16724;1;0
Broadmoor.com-0073-2016Redesign;en-US;http://login.nomadix.com:1111/web/portal.html;16724;1;0
Broadmoor.com-0073-2016Redesign;en-US;http://login.nomadix.com:1111/web/portal.html;16724;1;0
Lakeplacidlodge.com-0105-2017Redesign;en-US;https://www.bing.com/;28588;1;0
Broadmoor.com-0073-2016Redesign;en-US;https://www.google.com/;18259;1;0
Thesagamore.com-0112-2017Redesign;en-US;https://www.google.com/;32340;1;0
Sandpearl.com-0091-2016Redesign;en-US;http://m.facebook.com/;22481;1;0
Denvercy.com-0036-2015Redesign;en-US;https://www.google.com/;8150;1;0
Broadmoor.com-0073-2016Redesign;en-US;https://www.google.com/;16721;1;0
shop.broadmoor.com-0096-2016ShoppingCart;en-US;https://www.broadmoor.com/activities/retail/;26973;1;0
Thelodgeatwoodloch.com-0033-2015Redesign;en-US;http://traveltips.usatoday.com/health-resorts-pennsylvania-24154.html;7764;1;0
Cocokeyorlando.com-0059-2015Redesign;en-US;android-app://com.google.android.googlequicksearchbox/;12394;1;0
Galthouse.com-0042-2015Redesign;en-US;https://www.google.com/;31905;1;0
Halcyonhotelcherrycreek.com-0061-2015Redesign;en-US;https://www.google.com/;22121;1;0
Opalsands.com-0084-2016Redesign;en-US;http://m.facebook.com/;28082;1;0
Unionstationhotelnashville.com-0047-2015Redesign;en-US;http://r.search.yahoo.com/_ylt=AwrBT8H_.q5Zjp4Axntx.9w4##SEMICOLONDELIMITER##_ylu=X3oDMTE0dWVpZWM2BGNvbG8DYmYxBHBvcwMyBHZ0aWQDVUkyRkJUM18xBHNlYwNzcg--/RV=2/RE=1504668544/RO=10/RU=http%3a//www.unionstationhotelnashville.com//RK=1/RS=i6dL9HoehEkqyp63ercMTJMxpyM-;32226;1;0
Unionstationhotelnashville.com-0047-2015Redesign;en-US;https://www.google.com/;32226;1;0
Cocokeyorlando.com-0059-2015Redesign;en-US;http://www.google.com/;12404;1;0
Broadmoor.com-0073-2016Redesign;en-US;http://login.nomadix.com:1111/web/portal.html;16724;1;0
Broadmoor.com-0073-2016Redesign;en-US;http://login.nomadix.com:1111/web/portal.html;16724;1;0
Longboatkeyclub.com-0104-2017Redesign;en-US;http://m.facebook.com/;28316;1;0
