Thecurtis.com-0079-2016Redesign;en-US;android-app://com.google.android.googlequicksearchbox/;18374;1;0
Broadmoor.com-0073-2016Redesign;en-US;https://www.google.com/;21232;1;0
Cphollywoodbeach.com-0032-2015Redesign;en-US;https://www.sunny.org/webcam/;7831;1;0
Casaybelresort.com-0002-2014Redesign;en-US;https://www.google.com/;1613;1;0
Cphollywoodbeach.com-0032-2015Redesign;en-US;https://www.sunny.org/webcam/;7831;1;0
Lidobeachresort.com-0106-2017Redesign;en-US;https://www.google.co.uk/;28667;1;0
Broadmoor.com-0073-2016Redesign;en-US;http://www.magiquiz.com/quiz/what-kind-of-witch-are-you/10/;16728;1;0
Broadmoor.com-0073-2016Redesign;en-US;https://outlook.live.com/;16721;1;0
Broadmoor.com-0073-2016Redesign;en-US;http://www.magiquiz.com/quiz/what-kind-of-witch-are-you/10/;16728;1;0
Casaybelresort.com-0002-2014Redesign;en-US;http://surfinggator.com/fort-myers/cams/cams.html;1613;1;0
Cphollywoodbeach.com-0032-2015Redesign;en-US;https://www.google.com/;7831;1;0
Broadmoor.com-0073-2016Redesign;en-US;http://login.nomadix.com:1111/web/portal.html;16724;1;0
Springhillsuitesdenver.com-0060-2015Redesign;en-US;http://www.google.com/;12307;1;0
Thelodgeatwoodloch.com-0033-2015Redesign;en-US;http://www--thelodgeatwoodloch--com.rztrkr.com/hawley-packages/;7771;1;0
Cphollywoodbeach.com-0032-2015Redesign;en-US;https://www.sunny.org/webcam/;7831;1;0
Cphollywoodbeach.com-0032-2015Redesign;en-US;https://www.google.com/;7831;1;0
Cphollywoodbeach.com-0032-2015Redesign;en-US;https://www.sunny.org/webcam/;7831;1;0
Broadmoor.com-0073-2016Redesign;en-US;http://login.nomadix.com:1111/web/portal.html;16724;1;0
Cphollywoodbeach.com-0032-2015Redesign;en-US;https://www.sunny.org/webcam/;7831;1;0
Cocokeyorlando.com-0059-2015Redesign;en-US;https://www.google.com/;12394;1;0
Cocokeyorlando.com-0059-2015Redesign;en-US;https://www.google.com/;12394;1;0
Broadmoor.com-0073-2016Redesign;en-US;http://m.facebook.com/;17344;1;0
