Casaybelresort.com-0002-2014Redesign;en-US;android-app://com.google.android.googlequicksearchbox/;1533;1;0
Thecurtis.com-0079-2016Redesign;en-US;http://www.google.com/;17981;1;0
Monarchbeachresort.com-0092-2016Redesign;en-US;https://duckduckgo.com/;22725;1;0
Broadmoor.com-0073-2016Redesign;en-US;https://www.google.com/;16721;1;0
Broadmoor.com-0073-2016Redesign;en-US;http://login.nomadix.com:1111/web/portal.html;16724;1;0
Longboatkeyclub.com-0104-2017Redesign;en-US;https://www.google.com/;28316;1;0
Broadmoor.com-0073-2016Redesign;en-US;http://login.nomadix.com:1111/web/portal.html;16724;1;0
wentworthcom00212014redesign;en-US;http://www.wickedgoodtraveltips.com/;26679;1;0
Minnetonkamarriott.com-0039-2015Redesign;en-US;https://www.google.com/;9617;1;0
Broadmoor.com-0073-2016Redesign;en-US;http://login.nomadix.com:1111/web/portal.html;16724;1;0
Montaukyachtclub.com-0010-2014Redesign;en-US;https://www.google.com/;2240;1;0
Cphollywoodbeach.com-0032-2015Redesign;en-US;https://www.sunny.org/webcam/;7831;1;0
Thecrawfordhotel.com-0074-2016Redesign;en-US;https://www.google.com/;17145;1;0
Cphollywoodbeach.com-0032-2015Redesign;en-US;https://www.google.com/;7805;1;0
Bluebirch.com-0072-2016Redesign;en-US;https://sevendays.com.ua/;16693;1;0
Broadmoor.com-0073-2016Redesign;en-US;http://tpc.googlesyndication.com/safeframe/1-0-10/html/container.html;16728;1;0
Galthouse.com-0042-2015Redesign;en-US;https://www.facebook.com/;31905;1;0
Broadmoor.com-0073-2016Redesign;en-US;https://www.google.com/;16769;1;0
Bluebirch.com-0072-2016Redesign;en-US;https://sevendays.com.ua/;16693;1;0
Monarchbeachresort.com-0092-2016Redesign;en-US;https://www.google.com/;22725;1;0
Galthouse.com-0042-2015Redesign;en-US;https://www.facebook.com/;31905;1;0
Bluebirch.com-0072-2016Redesign;en-US;https://sevendays.com.ua/;16693;1;0
Longboatkeyclub.com-0104-2017Redesign;en-US;https://www.google.co.uk/;28316;1;0
Thesagamore.com-0112-2017Redesign;en-US;http://www.newyorkupstate.com/places-to-stay/2017/07/best_resorts_hotels_upstate_ny_vacation_road_trip_family_historic.html;32339;1;0
Longboatkeyclub.com-0104-2017Redesign;en-US;https://www.google.com/;28316;1;0
Monarchbeachresort.com-0092-2016Redesign;en-US;https://www.google.com/;23001;1;0
Broadmoor.com-0073-2016Redesign;en-US;http://r.search.yahoo.com/_ylt=AwrBT9DzW7dZRO4AuSxx.9w4##SEMICOLONDELIMITER##_ylu=X3oDMTByMjB0aG5zBGNvbG8DYmYxBHBvcwMxBHZ0aWQDBHNlYwNzYw--/RV=2/RE=1505217652/RO=10/RU=http%3a//www.broadmoor.com//RK=1/RS=_2dZhrclQ9ELC3PBrMKE24W4wlc-;16721;1;0
Broadmoor.com-0073-2016Redesign;en-US;http://r.search.yahoo.com/_ylt=AwrBT9DzW7dZRO4AuSxx.9w4##SEMICOLONDELIMITER##_ylu=X3oDMTByMjB0aG5zBGNvbG8DYmYxBHBvcwMxBHZ0aWQDBHNlYwNzYw--/RV=2/RE=1505217652/RO=10/RU=http%3a//www.broadmoor.com//RK=1/RS=_2dZhrclQ9ELC3PBrMKE24W4wlc-;16721;1;0
