Abbingtonbanquets.com-0070-2016Redesign;en-US;android-app://com.google.android.googlequicksearchbox/;15789;1;0
Theharborsidehotel.com-0114-2017Redesign;en-US;https://www.google.com/;37571;1;0
Broadmoor.com-0073-2016Redesign;en-US;https://www.google.com/;16721;1;0
Thelodgeatwoodloch.com-0033-2015Redesign;en-US;https://www.google.com/;8390;1;0
Thecurtis.com-0079-2016Redesign;en-US;https://www.google.com/;17981;1;0
Thelodgeatwoodloch.com-0033-2015Redesign;en-US;https://www.google.com/;7764;1;0
Thelodgeatwoodloch.com-0033-2015Redesign;en-US;https://www.bing.com/;7764;1;0
Lakeplacidlodge.com-0105-2017Redesign;en-US;https://www.google.com/;28557;1;0
Thesagamore.com-0112-2017Redesign;en-US;https://www.google.com/;32354;1;0
Broadmoor.com-0073-2016Redesign;en-US;http://login.nomadix.com:1111/web/portal.html;16724;1;0
Broadmoor.com-0073-2016Redesign;en-US;https://www.google.com/;18259;1;0
Broadmoor.com-0073-2016Redesign;en-US;http://login.nomadix.com:1111/web/portal.html;16724;1;0
Samosetresort.com-0113-2017Redesign;en-US;https://www.google.com/;32541;1;0
Monarchbeachresort.com-0092-2016Redesign;en-US;https://www.google.com/;22725;1;0
Opalsands.com-0084-2016Redesign;en-US;https://www.google.com/;20171;1;0
Marriottkeylargo.com-0015-2014Redesign;en-US;http://www.fla-keys.com/webcams/marriott-key-largo-bay/;3948;1;0
Marriottkeylargo.com-0015-2014Redesign;en-US;http://www.fla-keys.com/webcams/marriott-key-largo-bay/;3964;1;0
Thesagamore.com-0112-2017Redesign;en-US;https://www.google.com/;33467;1;0
Luxehotels.com-0078-2016Redesign;en-US;https://www.google.com/;18830;1;0
Samosetresort.com-0113-2017Redesign;en-US;https://www.google.com/;32557;1;0
Theharborsidehotel.com-0114-2017Redesign;en-US;https://search.aol.com/aol/search;37989;1;0
Broadmoor.com-0073-2016Redesign;en-US;https://www.google.com/;16769;1;0
Broadmoor.com-0073-2016Redesign;en-US;https://www.google.com/;16769;1;0
theweststreethotel.com-0115-2017Redesign;en-US;https://www.google.com/;36683;1;0
Sandpearl.com-0091-2016Redesign;en-US;https://www.google.com/;23090;1;0
Broadmoor.com-0073-2016Redesign;en-US;https://www.google.com/;16793;1;0
Sandpearl.com-0091-2016Redesign;en-US;https://www.google.com/;23090;1;0
Thelodgeatwoodloch.com-0033-2015Redesign;en-US;https://www.google.com/;7764;1;0
Luxehotels.com-0078-2016Redesign;en-US;https://www.google.com.au/;18830;1;0
Broadmoor.com-0073-2016Redesign;en-US;https://www.google.com/;16721;1;0
Broadmoor.com-0073-2016Redesign;en-US;https://www.google.com/;16721;1;0
Longboatkeyclub.com-0104-2017Redesign;en-US;https://worldcam.eu/webcams/north-america/florida-usa/15728;28317;1;0
Edgewaternaples.com-0094-2016Redesign;en-US;https://www.google.com/;25239;1;0
Cphollywoodbeach.com-0032-2015Redesign;en-US;https://www.google.com/;7831;1;0
theweststreethotel.com-0115-2017Redesign;en-US;https://www.google.com/;36683;1;0
Broadmoor.com-0073-2016Redesign;en-US;http://tpc.googlesyndication.com/safeframe/1-0-10/html/container.html;16728;1;0
Broadmoor.com-0073-2016Redesign;en-US;https://l.facebook.com/l.php;18014;1;0
theweststreethotel.com-0115-2017Redesign;en-US;https://www.google.com/;37486;1;0
Monarchbeachresort.com-0092-2016Redesign;en-US;http://m.facebook.com/;22992;1;0
Broadmoor.com-0073-2016Redesign;en-US;https://www.google.com/;16721;1;0
Broadmoor.com-0073-2016Redesign;en-US;https://www.google.com/;21232;1;0
Broadmoor.com-0073-2016Redesign;en-US;http://m.facebook.com/;20439;1;0
Thecurtis.com-0079-2016Redesign;en-US;https://www.google.com/;17981;1;0
Casaybelresort.com-0002-2014Redesign;en-US;https://search.yahoo.com/;1613;1;0
Broadmoor.com-0073-2016Redesign;en-US;http://m.facebook.com/;16790;1;0
Thesagamore.com-0112-2017Redesign;en-US;https://www.google.com/;32339;1;0
Cphollywoodbeach.com-0032-2015Redesign;en-US;https://www.sunny.org/webcam/;7831;1;0
Napavalleymarriott.com-0071-2016Redesign;en-US;https://www.google.com/;16432;1;0
Marriottkeylargo.com-0015-2014Redesign;en-US;http://www.ophotels.com/locator/;3948;1;0
Montaukyachtclub.com-0010-2014Redesign;en-US;http://www.hmaimages.com/Montauk/WeddingBrochure_24323/index.html;2383;1;0
Marriottdelraybeach.com-0009-2014Redesign;en-US;http://www.ophotels.com/locator/;2829;1;0
Montaukyachtclub.com-0010-2014Redesign;en-US;https://www.google.com/;2240;1;0
wentworthcom00212014redesign;en-US;http://www.ophotels.com/locator/;26679;1;0
Theoxfordhotel.com-0062-2015Redesign;en-US;https://www.google.com/;14325;1;0
Monarchbeachresort.com-0092-2016Redesign;en-US;https://www.google.com/;22725;1;0
