Samosetresort.com-0113-2017Redesign;en-US;android-app://com.google.android.gm/;35349;1;0
Sandylane.com-0075-2016Redesign;en-US;https://www.google.com/;17611;1;0
Sandpearl.com-0091-2016Redesign;en-US;https://www.google.com/;23082;1;0
Sandpearl.com-0091-2016Redesign;en-US;https://www.google.com/;23082;1;0
Broadmoor.com-0073-2016Redesign;en-US;http://tpc.googlesyndication.com/safeframe/1-0-10/html/container.html;16728;1;0
Washingtondukeinn.com-0024-2014Redesign;en-US;https://www.google.com/;4579;1;0
Cphollywoodbeach.com-0032-2015Redesign;en-US;http://www.beachcamsusa.com/fl/hollywood/crowne-plaza-webcam-from-hollywood-fl;7831;1;0
Theharborsidehotel.com-0114-2017Redesign;en-US;https://www.google.com/;37571;1;0
Theharborsidehotel.com-0114-2017Redesign;en-US;https://www.google.com/;37571;1;0
shop.broadmoor.com-0096-2016ShoppingCart;en-US;https://www.broadmoor.com/activities/retail/;26973;1;0
Cphollywoodbeach.com-0032-2015Redesign;en-US;https://www.sunny.org/webcam/;7831;1;0
saddlebrook.com-0011-2014Redesign;en-US;https://www.google.com/;3385;1;0
Cphollywoodbeach.com-0032-2015Redesign;en-US;https://www.google.com/;7805;1;0
Broadmoor.com-0073-2016Redesign;en-US;http://tpc.googlesyndication.com/safeframe/1-0-10/html/container.html;16728;1;0
Theharborsidehotel.com-0114-2017Redesign;en-US;https://www.inboundlinks.win/InboundLinks/www.theharborsidehotel.com;37571;1;0
Broadmoor.com-0073-2016Redesign;en-US;http://login.nomadix.com:1111/web/portal.html;16724;1;0
Broadmoor.com-0073-2016Redesign;en-US;http://login.nomadix.com:1111/web/portal.html;16724;1;0
Lidobeachresort.com-0106-2017Redesign;en-US;https://www.google.com/;28666;1;0
Theoxfordhotel.com-0062-2015Redesign;en-US;http://den-80202-5400.localdomain:444/captiveportal_process_payment.php;14325;1;0
Glencovemansion.com-0058-2015Redesign;en-US;https://www.google.com/;13328;1;0
Napavalleymarriott.com-0071-2016Redesign;en-US;https://www.google.ca/;16432;1;0
Galthouse.com-0042-2015Redesign;en-US;https://www.google.com/;10575;1;0
Halcyonhotelcherrycreek.com-0061-2015Redesign;en-US;https://pl-top.pl/;22121;1;0
Halcyonhotelcherrycreek.com-0061-2015Redesign;en-US;https://pl-top.pl/;22121;1;0
Halcyonhotelcherrycreek.com-0061-2015Redesign;en-US;https://pl-top.pl/;22121;1;0
Washingtoncourthotel.com-0076-2016Redesign;en-US;https://via-energy-order.com/;17858;1;0
Washingtoncourthotel.com-0076-2016Redesign;en-US;https://via-energy-order.com/;17858;1;0
Washingtoncourthotel.com-0076-2016Redesign;en-US;https://via-energy-order.com/;17858;1;0
Broadmoor.com-0073-2016Redesign;en-US;http://login.nomadix.com:1111/web/portal.html;16724;1;0
Thesagamore.com-0112-2017Redesign;en-US;https://www.google.com/;32339;1;0
Thesagamore.com-0112-2017Redesign;en-US;https://www.google.com/;32339;1;0
Thesagamore.com-0112-2017Redesign;en-US;http://www.thenewlyfeds2018.com/details;32339;1;0
Broadmoor.com-0073-2016Redesign;en-US;http://tpc.googlesyndication.com/safeframe/1-0-10/html/container.html;16728;1;0
Cphollywoodbeach.com-0032-2015Redesign;en-US;https://www.sunny.org/webcam/;7831;1;0
Broadmoor.com-0073-2016Redesign;en-US;http://pinterest.com/pin/441563938439075002/;18259;1;0
Cphollywoodbeach.com-0032-2015Redesign;en-US;https://www.sunny.org/webcam/;7831;1;0
Cphollywoodbeach.com-0032-2015Redesign;en-US;https://www.sunny.org/webcam/;7831;1;0
Sandylane.com-0075-2016Redesign;en-US;https://www.google.co.uk/;17611;1;0
Thelodgeatwoodloch.com-0033-2015Redesign;en-US;https://www.poconomountains.com/listings/the-lodge-at-woodloch/3118/;7764;1;0
Sandpearl.com-0091-2016Redesign;en-US;http://search.aol.com/aol/search;22481;1;0
Sandpearl.com-0091-2016Redesign;en-US;http://www.baidu.com/;22481;1;0
Sandpearl.com-0091-2016Redesign;en-US;http://www.baidu.com/;22481;1;0
Abbingtonbanquets.com-0070-2016Redesign;en-US;https://www.google.com/;15789;1;0
Thesagamore.com-0112-2017Redesign;en-US;https://www.google.com/;32339;1;0
